"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 20 19:33:41 CEST 2023","Sun Aug 20 19:33:43 CEST 2023","1303","tests.functional_positive_tests","test_retrieve_booking","","","","test_retrieve_random_booking_by_id",""
"passed","Sun Aug 20 19:33:43 CEST 2023","Sun Aug 20 19:33:45 CEST 2023","2482","tests.functional_positive_tests","test_update_booking","","","","test_validate_booking_update",""
"passed","Sun Aug 20 19:33:38 CEST 2023","Sun Aug 20 19:33:41 CEST 2023","3038","tests.functional_positive_tests","test_patch_booking","","","","test_partial_update_booking",""
"failed","Sun Aug 20 19:33:34 CEST 2023","Sun Aug 20 19:33:35 CEST 2023","1377","tests.functional_negative_tests","test_invalid_price","","","","test_invalid_total_price",""
"passed","Sun Aug 20 19:33:30 CEST 2023","Sun Aug 20 19:33:31 CEST 2023","742","tests.functional_negative_tests","test_create_booking_missing_fields","","","","test_create_booking_missing_fields",""
"passed","Sun Aug 20 19:33:36 CEST 2023","Sun Aug 20 19:33:38 CEST 2023","2542","tests.functional_positive_tests","test_delete_booking","","","","test_validate_booking_deletion",""
"passed","Sun Aug 20 19:33:35 CEST 2023","Sun Aug 20 19:33:36 CEST 2023","607","tests.functional_positive_tests","test_create_booking","","","","test_validate_creation_of_booking",""
"passed","Sun Aug 20 19:33:31 CEST 2023","Sun Aug 20 19:33:33 CEST 2023","1292","tests.functional_negative_tests","test_invalid_booking_update","","","","test_update_with_invalid_id",""
"passed","Sun Aug 20 19:33:31 CEST 2023","Sun Aug 20 19:33:31 CEST 2023","628","tests.functional_negative_tests","test_get_missing_booking","","","","test_retrieve_nonexistent_booking",""
"failed","Sun Aug 20 19:33:33 CEST 2023","Sun Aug 20 19:33:34 CEST 2023","1218","tests.functional_negative_tests","test_invalid_dates_booking","","","","test_booking_dates_boundary",""
